x,Q2,fu,fd,fs,fubar,fdbar,fsbar
0.12323232323232323,1.8,0.5878402421776351,0.37458295197908803,0.05316693278476949,0.08543883310109461,0.1308007620313943,0.032820508590601094
0.12575757575757576,1.8,0.5905015669083589,0.37422394169095874,0.05249634455536594,0.08377186847049525,0.12863290319211756,0.03193083410214375
0.12828282828282828,1.8,0.5930799343083741,0.3738114287609449,0.05183873384047265,0.08213338595127605,0.12647611658703375,0.031069551389603895
0.13080808080808082,1.8,0.595570856026457,0.3733443561025827,0.05119236058179865,0.08052234722235375,0.124332023915533,0.030235324820946593
0.13333333333333336,1.8,0.5979744816860763,0.3728233314107587,0.05055621269399238,0.078937693097958,0.1222008839544941,0.029427040570219654
0.13585858585858587,1.8,0.6002952703933424,0.3722507016457696,0.04993016201790586,0.07737841570613292,0.12008173244066177,0.02864381389182568
0.1383838383838384,1.8,0.6025270291090785,0.37162500000010773,0.04931267657895675,0.07584379615579492,0.11797671205176696,0.02788449504686917
0.14090909090909093,1.8,0.6046730780854419,0.37094787846401567,0.0487034027430355,0.07433282473459364,0.1158849292063513,0.027148248376877137
0.14343434343434344,1.8,0.6067346941126898,0.3702205574708001,0.048101925895909704,0.07284482043658796,0.11380659216172578,0.026434260079768183
0.14595959595959596,1.8,0.6087073975754984,0.36944241200339445,0.04750721423734704,0.07137941544699758,0.1117438819338567,0.025741616411033858
0.1484848484848485,1.8,0.6105968538118144,0.36861576116680417,0.04691932293252726,0.06993573138658525,0.10969527491988919,0.025069782541163942
0.15101010101010104,1.8,0.6124008310933423,0.3677406088259838,0.04633747535344619,0.06851312973960043,0.10766170065861769,0.024417755087566745
0.15353535353535355,1.8,0.6141155551168521,0.3668164508011966,0.04576072646405457,0.06711105976893092,0.10564461150998646,0.023784504358011275
0.15606060606060607,1.8,0.6157470057456154,0.3658455046708559,0.04518916913223081,0.0657286561464484,0.10364223655238324,0.02316960264985795
0.1585858585858586,1.8,0.6172917222298706,0.3648276735513766,0.04462228090485581,0.06436577077909458,0.1016563469422205,0.022572299006402615
0.16111111111111112,1.8,0.618747803909753,0.3637631164383366,0.04405960170431102,0.06302210143197087,0.09968802373766264,0.021991920292202406
0.16363636363636364,1.8,0.6201204817150212,0.3626536643489911,0.04350114536031241,0.06169682034042707,0.09773560707032393,0.02142807138531692
0.16616161616161618,1.8,0.6214058295022438,0.36149928905271034,0.042946456521213976,0.060389943235793546,0.09580115500198595,0.02087996747928169
0.16868686868686872,1.8,0.6226037495534783,0.36030058861817776,0.04239523164654851,0.05910109365588491,0.09388507742234269,0.020347023269126276
0.1712121212121212,1.8,0.6237182071040994,0.3590589772331278,0.04184744847836768,0.05782959541861386,0.09198612558637659,0.01982889928070523
0.17373737373737375,1.8,0.6247450848461183,0.3577745564705246,0.04130286819914374,0.05657571966925306,0.09010654403173635,0.0193249409077851
0.1762626262626263,1.8,0.6256857607414404,0.3564481649852151,0.040761341217507296,0.055339059311459944,0.08824616268836839,0.018834748225914997
0.17878787878787883,1.8,0.6265427903488129,0.3550808624188859,0.04022278729923236,0.05411907726056229,0.08640421337831954,0.018357949430011386
0.18131313131313131,1.8,0.6273120263235719,0.3536728173171368,0.03968705467646034,0.05291609172391217,0.08458281850837895,0.01789387687422527
0.18383838383838386,1.8,0.6279956064848903,0.3522247413568355,0.03915397917405596,0.05172951201699344,0.08278117742878044,0.01744218838792036
0.1863636363636364,1.8,0.6285952831463449,0.3507377087414277,0.03862354976374763,0.05055907601719074,0.08099912956105364,0.01700256568757415
0.18888888888888888,1.8,0.6291083554712058,0.34921254597938844,0.038095828616029136,0.049405283496996896,0.07923876128788546,0.01657449539770257
0.19141414141414143,1.8,0.6295381066224102,0.34765012679871876,0.037570663456615326,0.04826747641148737,0.07749896099869195,0.016157738817218745
0.19393939393939397,1.8,0.6298847080343543,0.34605111225170093,0.037048058435400315,0.0471455319298877,0.07577987901661588,0.015751954691760196
0.19646464646464645,1.8,0.6301449979412944,0.3444160576269486,0.03652814734286699,0.04603995357368685,0.07408332070710034,0.015356672049426178
0.198989898989899,1.8,0.630322043422513,0.3427454655808708,0.03601070991310988,0.044949975820028805,0.07240791829881432,0.014971670275462482
